F|Gierschlund & Raffke GmbH|Berliner Allee|1|DE|32011|Herford|@gundr.de|+49 5221 123123-0
M|Meier|Hans|hans.meier@gundr.de|AL|+49 5221 123123-56
S|Warendorf|Wupperweg|47|DE|48231|Warendorf||+49 2581 4545-0
M|Schulz|Anton|anton.schulz@gundr.de|PL|+49 2581 4545-21

F|Hoppla Transporte OHG|Im Kasten|58|DE|33331|Gütersloh|@hopplatrans.de|+49 5241 456-0
M|Brummer|Bernd|bernd.brummer@hopplatrans.de|AL|+49 5241 456-89
S|Lager17|Bahnhofsweg|3|DE|33331|Gütersloh||
M|Gans|Gustaf|gustaf.gans@hopplatrans.de|AL|+49 5241 456-34

F|GEDOPLAN GmbH|Stieghorster Straße|60|DE|33605|Bielefeld|@gedoplan.de|+49 521 20889-10
M|Kirk|James|james.kirk@gedoplan.de|GF|
M|Spock|Mister|mister.spock@gedoplan.de||
M|McCoy|Leonard|leonard.mccoy@gedoplan.de||
M|Scott|Montgomery|montgomery.scott@gedoplan.de||
M|Uhura|Nyota|nyota.uhura@gedoplan.de||
M|Sulu|Hikaru|hikaru.sulu@gedoplan.de||
M|Chekov|Pavel|pavel.checkov@gedoplan.de||

F|Wegdamit Handel GmbH|Im Eck|9|DE|44398|Bochum|@wegdamit.com|+49 234 4195-0
M|Wacker|Willi|willi.wacker@wegdamit.com|AL|+49 234 4195-24|+49 171 1234567

